,Predixcan,Enformer,strand
INCA1,-0.16976829191371262,0.0945090937359975,['-']
WTAP,-0.14361677878122656,-0.04020863554929291,['+']
ANXA11,0.1781910034447164,0.2424199042257186,['-']
CX3CR1,0.2831150451602366,0.032526845080725765,['-']
ZNF276,0.0806165006723497,0.11642706245658294,['+']
ARHGEF7,0.17493836310663563,0.21041252070718353,['+']
ACSF3,0.2884062286100441,0.2342295611847504,['+']
GTF2H4,0.27504066053789017,-0.008220501156996598,['+']
ZC3H18,0.027075398926371192,-0.18069153184021244,['+']
EZR,0.13929847957722186,0.1107834758355911,['-']
ADH5,0.2395028061930241,0.3028757328747743,['-']
GIPC1,0.09037878424900386,-0.006426183677566659,['-']
NDOR1,0.17317894399386324,0.01999627996211719,['+']
SAMD7,0.12838702839554347,0.1342425989701919,['+']
CHI3L2,0.2635808614964845,0.2628138234143382,['+']
FIBP,0.3353228246057734,0.20087663218579183,['-']
BSG,0.625438845493494,0.4142255617710683,['+']
UBE2Z,-0.0057095951739221835,-0.014440657785123621,['+']
HELB,0.22228490655208438,0.14776313211666278,['+']
SLC16A9,0.3998765776732081,0.259078989955267,['-']
FCRL3,0.3020755901284826,-0.09441297836588528,['-']
MCM8,0.3928753114014909,-0.23442645557715197,['+']
MRPL21,0.37099285867997017,0.35725364957922046,['-']
FAAH,0.04527618651262746,0.1172198673703512,['+']
SLC36A1,0.04621093788480895,0.018541290376664844,['+']
PFN2,-0.17590653826700814,0.19449479011938522,['-']
COG3,0.05101191604267982,-0.028420483154249727,['+']
ICAM5,0.12766696417535897,0.09582041538963874,['+']
